,firm,tv,radio,newpaper,magazine
0,회사명,TV,라디오,신문,잡지
1,LG전자,17908248,89237,1516482,160100
2,삼성전자,12279508,291138,6285213,268100
3,KT,3554634,168158,1717394,26000
4,삼성화재,2001163,63883,3183392,13600
5,현대자동차,2655603,480837,1782310,76700
6,한국인삼공사,4003398,215779,520064,178500
7,동국제약,4224727,40050,489902,47500
8,오렌지라이프,3782591,0,595371,1500
9,바디프랜드,3049281,0,1104793,183800
10,명인제약,3569207,27000,232941,0
11,롯데케미칼,2365440,0,1074019,29500
12,기업은행,1259432,0,1988575,53800
13,SK브로드밴드,2890439,0,350631,0
14,SK텔레콤,1567829,0,1652044,3000
15,롯데쇼핑,1423688,0,1456351,13000
16,구글코리아,2890599,0,0,0
17,아모레퍼시픽,1173160,51490,1118289,382800
18,명보INC,1458954,0,749142,449700
19,에이스침대,2477295,84161,333,63500
20,LG생활건강,1719103,80818,70308,572500
21,시몬스,2371243,0,0,68250
22,SSG닷컴,2428833,0,0,0
23,기아자동차,1139149,151162,1108901,28500
24,대웅제약,1986367,39600,382283,5000
25,한국코카콜라,2329653,62011,0,0
26,대한항공,2057320,222888,61488,35000
27,롯데하이마트,2104212,70800,162814,14000
28,CJ제일제당,1214139,0,990906,28000
29,삼성생명보험,0,0,2209666,19600
30,광동제약,1912083,203715,0,0
31,농협중앙회,906093,0,1096909,50500
32,일동제약,1010284,76571,932859,0
33,우리은행,0,0,1968877,41000
34,SK이노베이션,0,0,1873811,0
35,GC녹십자,1701688,0,153427,11000
36,KCC건설,1798211,0,24616,0
37,동서식품,971175,42054,723761,81000
38,한국지엠,1409292,385999,1870,6000
39,이마트,0,0,1787170,9000
40,한화공동,1791545,0,0,1800
41,한국토지주택공사,0,4120,1751334,0
42,샤넬코리아,1216211,0,0,513500
43,(주)하나은행,0,0,1718094,2000
44,한국피앤지,1535855,144754,0,14000
45,오케이저축은행,1689861,0,0,0
46,LG,0,13542,1608780,41800
47,에쓰오일,1215693,35288,386357,1500
48,서울특별시,0,5407,1630711,1500
49,FRL코리아,1594344,0,0,0
50,롯데칠성음료,1271207,39223,259467,2000
51,KB금융지주,0,0,1508777,18600
52,동아제약,1351760,33365,96912,39300
53,신한금융지주회사,0,0,1438883,81600
54,하이모,1125985,0,379658,14000
55,SK하이닉스,0,0,1504665,0
56,동화약품,1191409,0,269883,0
57,편강한방연구소,858512,146298,423174,0
58,인코미디어넷,1396594,0,0,0
59,경기도청,805750,0,545556,3300
60,농심,1326353,0,0,17300
61,코오롱인더스트리FNC부문,914709,0,246017,151800
62,다이슨코리아,1298686,0,0,0
63,비타민하우스,992386,102044,192762,1500
64,오리온,1260317,0,0,7500
65,LGU플러스,906980,0,282219,26500
66,AIA생명보험,358442,0,805157,1500
67,다이치,1152477,0,0,0
68,카카오,1111761,0,0,0
69,현대자동차그룹,0,0,1096529,0
70,엘브이엠에치,847581,0,0,241000
71,한국토요타자동차,613233,369619,94031,2500
72,롯데첨단소재,0,0,1022683,54800
73,네슬레코리아,1036159,0,0,28500
74,코웨이,928123,0,101512,30500
75,블랙야크,793869,0,240709,21000
76,남양유업,1021524,25108,0,0
77,컬리,1032807,0,0,0
78,기상청,1028500,0,0,0
79,메르세데스벤츠코리아,975554,30253,21118,0
80,두산,0,0,994978,29100
81,케이티기획,1018162,0,0,0
82,GS칼텍스,0,0,991323,12000
83,현대백화점,0,129758,855437,2500
84,카버코리아,952474,0,0,25000
85,SK(주),13170,75254,883795,4500
86,리치몬드코리아*,0,0,149630,821800
87,여성가족부,941600,0,23995,0
88,신한은행,0,0,937625,19800
89,한국수력원자력,680425,0,253722,9000
90,서울주택도시공사,0,0,925782,0
91,한국주택금융공사,925100,0,0,0
92,한국산업은행,0,0,917780,0
93,그룹세브코리아,887649,0,0,16000
94,보건복지부,876700,0,25566,0
95,안국약품,789849,98549,0,0
96,롯데지주,884261,0,329,0
97,발렌시아가코리아,0,0,800236,57000
98,귀뚜라미보일러,829654,15492,10017,0
99,잡코리아,844117,0,0,0
100,쿠쿠전자,812237,11260,0,20500
